tRF,LA2CN2_1,LA2CN2_2,LA2CN2_3,LA2CN2_4,LA2CO2_1,LA2CO2_2,LA2CO2_3,LA2CO2_4,LA5CN2_1,LA5CN2_2,LA5CN2_3,LA5CN2_4,LA5CO2_1,LA5CO2_2,LA5CO2_3,LA5CO2_4
tRF-16-1HWUNS0,0,0,0,0,0,0,0,0,0,0,0,0,0.756730267,0,0,0
tRF-16-1HWUYS0,0,0,0,0,0,0,0,1.200774208,0,0,0,0,0,0,0,0
tRF-16-1IQ4YUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1IUUK7E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1KWH19B,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738552626,0,0
tRF-16-1KYK37E,0,0,0,0,0,0,0,1.200774208,0,0,0,0,0,0,0,0
tRF-16-1LQ4PU0,0,0,0,0,0,0,0,0,1.21715116,0.548626354,0,1.258078841,0,0.738552626,0,0
tRF-16-1LQH83D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1LXN4VE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1M38YUE,0,0,0,0,0,0,0,0,0,0,0.602410927,0,0.756730267,0,0,0
tRF-16-1M58HUB,0,0,0,0,0,0,0,0,0,0,0,0.629039421,0,0,0,0
tRF-16-1MP34RD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1MQ8YUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1MQKYUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1MQKYUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1NKL7L0,0,0,0,0,0,0,0,0,0.60857558,0,0,0.629039421,0,0,1.456285536,0.813562285
tRF-16-1NR8YUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1NR8YWE,0,0,0,0,0,0,0,0,0,0.548626354,0,0,0,0,0,0
tRF-16-1PFQJDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738552626,0,0
tRF-16-1PPJQMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1PW4PU0,0,0,0,0,0,0,0,0,0,0.548626354,0,0,0.756730267,0.738552626,0,0
tRF-16-1QKS3WD,2.622083706,0,2.593347885,2.172038165,1.59654389,5.804149152,1.380069473,2.401548415,12.1715116,4.937637186,6.626520194,5.661354785,10.59422374,11.81684202,10.19399875,10.5763097
tRF-16-1S91540,0,0,0,0,0,0,1.380069473,0,0,0,0,0.629039421,0,0,0,0.813562285
tRF-16-1SS2P40,0,0,1.296673942,1.086019083,1.59654389,1.16082983,0,2.401548415,2.434302321,2.74313177,1.80723278,1.887118262,2.270190801,2.954210505,7.281427681,4.881373709
tRF-16-1SS2PMB,13.11041853,18.79999988,7.780043655,6.516114495,9.579263337,4.643319322,9.66048631,12.00774208,21.30014531,16.45879062,12.65062946,10.06463073,18.16152641,25.1107893,21.84428304,17.08480798
tRF-16-1W188MB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1W6SF8E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-1WF8YMB,0,0,0,0,1.59654389,0,0,0,0.60857558,0,0,0,0,0,0,0.813562285
tRF-16-1Y0SR90,0,0,0,0,0,0,0,0,0,0.548626354,0,0,0,0,0,0
tRF-16-207RRND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-207WRND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-22R7N3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-22RRM3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-23W8WR0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-245J7KE,47.19750672,48.17499968,47.97693587,42.35474422,35.12396557,35.98572475,34.50173682,28.81858098,256.8188949,241.3955957,210.8438244,200.6635752,294.3680739,343.4269712,359.7025274,370.9844019
tRF-16-25QB1MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-2B5YJ3E,0,0,0,0,0,0,0,0,0,0,0,0,0.756730267,0,0,0
tRF-16-2E2WMKE,0,0,0,0,0,0,1.380069473,0,0,0,0,0,0,0.738552626,0,0
tRF-16-2E489BD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-2E4V9KD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-2EK8E0D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-2ERPFVE,1.311041853,0,1.296673942,0,0,0,0,0,0.60857558,0,0.602410927,0,0.756730267,0.738552626,0,0.813562285
tRF-16-2F5JYHB,0,1.174999992,0,0,0,0,0,0,1.21715116,0,0,0,0,0,0,0
tRF-16-2J1Y0S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-2KWHR90,0,0,0,0,0,0,0,0,0,0,0.602410927,0,0,0,1.456285536,0
tRF-16-2QR7F8E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-2QW18FD,0,1.174999992,0,0,0,1.16082983,0,0,0,1.097252708,0,0.629039421,0,1.477105253,2.912571072,0.813562285
tRF-16-2R1HPS0,0,0,0,0,0,1.16082983,0,0,0,0,0,0,0,0,0,0
tRF-16-2V7KYUB,0,0,2.593347885,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-2VF0S70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-2VO0SRD,0,0,0,1.086019083,0,0,0,0,0,0.548626354,0.602410927,0.629039421,0,0.738552626,0,1.62712457
tRF-16-2VO0SRE,0,0,0,0,0,0,0,0,0.60857558,0,0,0,0,0,1.456285536,0
tRF-16-2VR0080,0,0,0,1.086019083,0,0,0,1.200774208,0,0,0,0,0,0,0,0
tRF-16-2VR0PS0,0,0,0,0,0,0,0,0,0.60857558,0,0,0,0,0,0,0
tRF-16-2WI0PR0,0,0,0,0,0,0,0,0,0,0,0,0,1.513460534,0.738552626,0,0
tRF-16-2WW18FD,0,0,0,0,0,0,0,0,1.21715116,0,0,0,0,0.738552626,0,0
tRF-16-301M3KE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-30MB01B,1.311041853,0,2.593347885,1.086019083,0,0,0,1.200774208,0.60857558,1.097252708,0,0,0,0.738552626,2.912571072,2.440686854
tRF-16-325UB1E,0,2.349999985,1.296673942,0,1.59654389,0,0,3.602322623,3.042877901,1.097252708,1.204821853,0.629039421,0.756730267,0,0,0
tRF-16-32VIJM0,5.244167413,2.349999985,2.593347885,3.258057248,3.193087779,2.321659661,0,0,1.825726741,3.840384478,3.012054634,1.258078841,2.270190801,5.169868384,8.737713217,5.694935993
tRF-16-33VIJM0,0,0,0,0,0,0,0,0,0,0.548626354,0,0,0,0,0,0
tRF-16-34L2H1B,1.311041853,1.174999992,6.483369712,4.34407633,0,5.804149152,5.520277891,9.60619366,3.651453481,1.645879062,3.012054634,4.403275944,0,2.215657879,4.368856608,0.813562285
tRF-16-3578Q1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62712457
tRF-16-362VO00,0,0,0,0,0,0,0,0,0,0,0,0,0.756730267,0,0,0
tRF-16-39DPYPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3B1NR8E,0,1.174999992,1.296673942,2.172038165,1.59654389,0,4.140208418,1.200774208,11.56293602,12.61840614,6.626520194,9.435591308,11.35095401,8.862631516,4.368856608,5.694935993
tRF-16-3B5SM3E,0,0,0,0,0,0,0,0,0.60857558,0,0,0.629039421,0,0,0,0
tRF-16-3F90Q40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3H93WBD,0,0,0,0,0,0,0,0,0.60857558,0,0.602410927,0,0,0,0,0
tRF-16-3HJ3WBD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3HJ3WBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3HPYR90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3JVIJM0,1.311041853,1.174999992,0,1.086019083,1.59654389,1.16082983,2.760138946,0,1.21715116,1.645879062,1.80723278,2.516157682,0,0,4.368856608,3.254249139
tRF-16-3JW261B,0,5.874999961,0,2.172038165,6.386175558,5.804149152,8.280416837,4.80309683,2.434302321,0,0,0,3.026921068,0,1.456285536,1.62712457
tRF-16-3JWB61B,15.73250224,22.32499985,16.85676125,14.11824807,15.9654389,11.6082983,16.56083367,10.80696787,35.90595923,34.01483395,27.1084917,32.71004987,46.16054629,56.1299996,43.68856608,62.64429593
tRF-16-3K7SIRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3KJB01B,2.622083706,0,0,0,0,0,1.380069473,0,1.21715116,0.548626354,0,0,2.270190801,0,0,0
tRF-16-3KJBP1B,15.73250224,8.224999946,7.780043655,8.68815266,7.982719448,22.05576678,6.900347364,9.60619366,29.21162785,18.65329604,29.51813541,22.01637972,27.24228961,33.23486818,39.31970948,32.54249139
tRF-16-3KMB01B,610.9455036,693.2499954,478.4726848,564.7299229,464.5942719,477.1010603,499.5851492,477.9081346,471.0374991,499.7986085,436.145511,390.6334802,510.7929303,598.2276273,519.8939364,583.3241582
tRF-16-3KXR3RB,85.21772046,118.6749992,72.61374078,94.48366018,75.03756281,48.75485288,85.56430731,66.04258141,194.7441857,178.8521914,146.9882661,152.8565792,251.2344487,218.6115774,270.8691097,333.5605368
tRF-16-3KXRKRB,1.311041853,0,0,0,0,2.321659661,0,0,0.60857558,0.548626354,0.602410927,0,0.756730267,0.738552626,0,0
tRF-16-3KZS01B,0,0,0,0,0,0,0,0,0.60857558,0,0,0,0,0,0,0
tRF-16-3L7L73D,0,0,0,1.086019083,0,0,0,0,0.60857558,1.097252708,2.409643707,1.258078841,2.270190801,0,0,0
