tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
tRF-21-1SS2P46ID,38.243253952222226,28.296107438869566,-0.4346016791893499,0.0027152676763356753,0.6103405493283343,False
tRF-23-W47W1R7HX,14.258194603,33.20265431695651,1.2195072625975039,0.0028322067254215044,0.6103405493283343,False
tRF-22-J9ZH0SR9L,45.33234434222223,36.23189025191304,-0.3232806969751225,0.01362461139157467,0.9970428681440917,False
tRF-16-1SS2P40,28.784691572666663,17.379938163913042,-0.7278788046954769,0.015437950999686256,0.9970428681440917,False
tRF-18-8R6546D2,48.994323245555556,43.748504911434786,-0.16338088601827394,0.01799870226177236,0.9970428681440917,False
tRF-16-V2Y8L9E,27.41824088555556,21.339880775913045,-0.3615838969002896,0.01799870226177236,0.9970428681440917,False
tRF-19-18Y3E7IN,7.121150099666666,13.896450759913042,0.964534289451775,0.01799870226177236,0.9970428681440917,False
tRF-19-V29K9U2Y,322.51314507777784,280.86993903478253,-0.19945573961531338,0.022021690767519253,0.9970428681440917,False
tRF-18-4RRWRBD2,35.372960598666666,24.99275293421739,-0.5011371508241949,0.027806822395253894,0.9970428681440917,False
tRF-20-W47W1R7H,50.763481574444455,72.69552299608695,0.5180754988067635,0.03183444568038574,0.9970428681440917,False
tRF-23-897PVP94Z,27.231051544000003,21.65210419247826,-0.3307454584235785,0.04284511280339942,0.9970428681440917,False
tRF-22-1SS2P46I3,34.93800752,27.696345901434785,-0.3351016872895869,0.04284511280339942,0.9970428681440917,False
tRF-20-Q1Q89P9L,22.48737592011111,33.769269737391305,0.5865956602533542,0.04549085878896797,0.9970428681440917,False
tRF-22-WB0Q37Q52,72.16611463000001,62.828863201739125,-0.19989410640482141,0.05351858190011727,0.9970428681440917,False
tRF-21-18Y3E7QN0,14.335012665444445,21.09219945191304,0.5571663650514824,0.05351858190011727,0.9970428681440917,False
tRF-16-9NS334D,10.851555366222222,14.990342812391305,0.46613153581544653,0.05351858190011727,0.9970428681440917,False
tRF-20-73VL4YMY,28.897696531111112,40.68345242869565,0.49348761417314346,0.06089429850831396,0.9970428681440917,False
tRF-21-9M739P8W0,10.209790986777778,17.486957078739135,0.7763259345328866,0.06089429850831396,0.9970428681440917,False
tRF-23-9NS334L2DB,57.38853009522222,100.39978810608693,0.8069218965493814,0.06089429850831396,0.9970428681440917,False
tRF-22-9NS334L2I,19.387270729333334,31.298486777391304,0.6909831869802474,0.06089429850831396,0.9970428681440917,False
tRF-21-YO0Y3KQ9D,15.935059774222225,24.254591108956525,0.6060534275204938,0.06089429850831396,0.9970428681440917,False
tRF-21-V29K9UV30,728.6444731888889,529.0957008565218,-0.46168635816056103,0.06089429850831396,0.9970428681440917,False
tRF-22-PS5P4PW3H,66.03973090111111,90.35179605304347,0.45221903834113775,0.06751853911753825,0.9970428681440917,False
tRF-23-4PW3FJHPW,37.011712304444444,37.186573155217395,0.006799923953037634,0.07802251789737868,0.9970428681440917,False
tRF-19-73VL4YHE,14.453799549,28.392154103521737,0.9740435183351361,0.07802251789737868,0.9970428681440917,False
tRF-23-J9ZH0SR9D7,59.84507932555555,42.47628757273913,-0.4945749484331703,0.07802251789737868,0.9970428681440917,False
tRF-21-JYSWRYVMD,34.23836504222222,46.411335304782604,0.4388633945167788,0.07802251789737868,0.9970428681440917,False
tRF-20-PS5P4PW3,9.476705817111112,10.587678100739131,0.15992867966090252,0.07802251789737868,0.9970428681440917,False
tRF-22-I7XUK87SI,24.852536449777777,16.551925340608694,-0.5863940578714661,0.07802251789737868,0.9970428681440917,False
tRF-21-JMRPFQJDE,33.25515985222222,30.71822021026087,-0.11448357589264102,0.07802251789737868,0.9970428681440917,False
tRF-23-WR645J7K05,15.797015381555553,10.399239298565218,-0.603174008219117,0.0844463221242977,0.9970428681440917,False
tRF-22-83ML5F923,21.67368861111111,28.826726398608695,0.41146230743096623,0.09626721998802101,0.9970428681440917,False
tRF-22-VF4YO9XEJ,49.92184485111111,44.03337710086956,-0.18107375493553768,0.09626721998802101,0.9970428681440917,False
tRF-22-83ML5F823,20.09936365333333,20.627550877130435,0.037422712904393585,0.09626721998802101,0.9970428681440917,False
tRF-18-1SS2P4DX,25.74654092088889,18.06853686104348,-0.5108989319076924,0.10804419440403845,0.9970428681440917,False
tRF-16-EY0VWUD,72.5282273401111,70.3878839752174,-0.04321547258778935,0.10804419440403845,0.9970428681440917,False
tRF-23-739P8WQ07,20.232882499333336,28.91814577695652,0.5152731804340469,0.1109033541541884,0.9970428681440917,False
tRF-19-S998LOJX,52.06845855777778,96.27724408208698,0.8867851479241518,0.12090870197655523,0.9970428681440917,False
tRF-20-F8DHXY6R,15.00140683111111,13.201298441391305,-0.18441796706883773,0.12090870197655523,0.9970428681440917,False
tRF-18-RPFQRD03,14.868683274777778,13.455874010956524,-0.14404078974277645,0.13583661333105168,0.9970428681440917,False
tRF-19-1KVUY92E,59.170402376666665,85.74372213565218,0.5351553400325777,0.13583661333105168,0.9970428681440917,False
tRF-19-S3M830JZ,19.51936945511111,16.38406765408696,-0.2526128717581537,0.13583661333105168,0.9970428681440917,False
tRF-22-08F4BDNZ5,7.695771580777777,12.438657040565218,0.6926928469745084,0.13583661333105168,0.9970428681440917,False
tRF-21-739P8WQ0B,15.499380804222223,31.141887070826087,1.006645787075831,0.14745892872422361,0.9970428681440917,False
tRF-23-2IUIX1Q7DR,45.797907906666666,50.68216836739131,0.14619655343359295,0.14745892872422361,0.9970428681440917,False
tRF-20-79MP9P9M,15.879936953666666,12.605864150478263,-0.3331101642741756,0.14745892872422361,0.9970428681440917,False
tRF-22-12Z4R95MJ,78.22980636933335,84.00407557208696,0.10274092982116922,0.1639152477111322,0.9970428681440917,False
tRF-23-VP9N15WV0E,20.727689133333328,27.374115575304344,0.40125306997322596,0.1639152477111322,0.9970428681440917,False
tRF-21-V47PU9XWE,8.950175046,15.334008219869563,0.7767470545706772,0.1639152477111322,0.9970428681440917,False
tRF-16-KQ3SW1B,24.33542140111111,18.238595441217388,-0.41606312559526426,0.1639152477111322,0.9970428681440917,False
tRF-16-UMX0SW0,151.2987864866667,91.73433172086956,-0.7218667453336618,0.1639152477111322,0.9970428681440917,False
tRF-20-J9ZH0SR9,36.56650338777777,32.24700189347826,-0.18135764309973101,0.1639152477111322,0.9970428681440917,False
tRF-22-R2Z4R95MJ,103.61728173555557,104.83359171082607,0.01683643014610503,0.1639152477111322,0.9970428681440917,False
tRF-21-R29P4P9L0,82.19405890555555,103.81743431608695,0.33694271645639606,0.18072559253871823,0.9970428681440917,False
tRF-16-8Y3DUVD,9.98265724488889,14.740339310521739,0.5622739372682553,0.18072559253871823,0.9970428681440917,False
tRF-16-YSQSD2D,27.504246821,46.60200309434782,0.760737570965877,0.18072559253871823,0.9970428681440917,False
tRF-22-739P8WQ0F,13.38303718711111,20.586571322652176,0.6212980075152612,0.18072559253871823,0.9970428681440917,False
tRF-22-BZBZOS4Y1,42.751502308111114,46.519444980434784,0.12185876636247528,0.18072559253871823,0.9970428681440917,False
tRF-21-4KRQ59W3E,11.79075757688889,22.78988599639131,0.9507372907296099,0.18072559253871823,0.9970428681440917,False
tRF-21-WR645J7KE,417.3970480666667,298.12522347639134,-0.48550195487288583,0.18955677248224534,0.9970428681440917,False
tRF-18-I363U0W,14.426641010333334,14.724563073086957,0.029489392358143185,0.18955677248224534,0.9970428681440917,False
tRF-21-73VL4YMYE,17.474459280222224,24.328607509521742,0.477405933108356,0.18955677248224534,0.9970428681440917,False
tRF-16-739P8W0,8.305777310555555,13.58724934043478,0.7100663237159357,0.18955677248224534,0.9970428681440917,False
tRF-22-WR645J7KQ,80.36059478777777,56.28532600473914,-0.5137293919973906,0.18955677248224534,0.9970428681440917,False
tRF-22-NONU3IND2,166.0041632266667,153.67155908826086,-0.11136924188614916,0.20404445109951208,0.9970428681440917,False
tRF-21-WB0Q37Q5D,57.29852234666666,48.37371602086957,-0.24427456581682883,0.20404445109951208,0.9970428681440917,False
tRF-20-UIX1Q7O6,324.51217642222224,294.3085364647392,-0.1409432239041699,0.20404445109951208,0.9970428681440917,False
tRF-22-VP9N15WVN,18.32255929077778,24.111143511130436,0.3960790419632758,0.20404445109951208,0.9970428681440917,False
tRF-22-4PW3FJHP1,69.70293891222222,77.85973381086956,0.1596579260754316,0.20404445109951208,0.9970428681440917,False
tRF-21-VP9N15WV0,8.78621887411111,12.484871232869567,0.5068665975301072,0.20404445109951208,0.9970428681440917,False
tRF-23-EXEY0VWUD2,354.6320549777778,292.3732793877826,-0.278511480101308,0.20404445109951208,0.9970428681440917,False
tRF-18-739P8WD8,71.14500264333334,92.4316019847826,0.3776237647445031,0.20404445109951208,0.9970428681440917,False
tRF-16-945NB2D,10.901384906333334,13.885137237565214,0.349030010618427,0.20404445109951208,0.9970428681440917,False
tRF-18-0RSSX7D2,16.526545485222226,14.031679628173913,-0.23609747852788532,0.20404445109951208,0.9970428681440917,False
tRF-23-R29P4P9LDS,104.7821906511111,130.3468232456522,0.3149618931400546,0.22374326174381787,0.9970428681440917,False
tRF-21-DRFU8U76B,20.381099592222224,17.372245473913043,-0.23044764559035258,0.22374326174381787,0.9970428681440917,False
tRF-16-R2Z4R90,116.48796535666666,169.39250498782607,0.5401891275999544,0.22374326174381787,0.9970428681440917,False
tRF-18-RX6NMHD5,54.643277313111106,43.330438863043476,-0.33466316532696716,0.24118393656769632,0.9970428681440917,False
tRF-18-73VL4YDN,21.801147729888886,29.277688610956528,0.4253975732644042,0.24118393656769632,0.9970428681440917,False
tRF-18-V29K9U0H,67.04968553444445,60.43088545304347,-0.14994448482069522,0.24118393656769632,0.9970428681440917,False
tRF-21-MPW4PU73E,13.995213443555556,10.577122172652173,-0.4039863380472237,0.24118393656769632,0.9970428681440917,False
tRF-19-Z3M8ZL2J,86.39384662555557,123.22264076695656,0.5122668936277055,0.24118393656769632,0.9970428681440917,False
tRF-18-YKISQID5,46.87991917955556,42.91206055782608,-0.12758690427388597,0.24118393656769632,0.9970428681440917,False
tRF-20-YDZDL9X1,659.2387086433332,508.0128799077391,-0.3759358811655691,0.24118393656769632,0.9970428681440917,False
tRF-16-BS68BFD,25.316411723333335,25.90907204769565,0.03338440953106936,0.24118393656769632,0.9970428681440917,False
tRF-20-9N15WV7W,14.410199853777776,13.691343380391306,-0.07382633498057922,0.26284325889164617,0.9970428681440917,False
