tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
tRF-18-1SS2P4DX,32.363136215000004,20.246189179066665,-0.6767010382551968,0.0036620234774255023,0.8276173058981635,False
tRF-19-73VL4YHE,21.465556635714286,22.527947835933332,0.06969231386572439,0.0036620234774255023,0.8276173058981635,False
tRF-19-S3M830JZ,17.111353994857147,27.155385743800004,0.666284434411498,0.00669487237805233,0.9057126854529374,False
tRF-21-1SS2P46ID,37.89203182928571,27.656442866000003,-0.45427889050771597,0.01224929331000113,0.9057126854529374,False
tRF-22-WD8YQ84V2,8.841492241928572,15.816289840000001,0.8390494251526053,0.013848493709801124,0.9057126854529374,False
tRF-20-RX6NMH49,18.203338681857144,12.21412087886667,-0.5756530517744056,0.017046894509401556,0.9057126854529374,False
tRF-16-YKISQID,51.00265966642856,41.02886308986667,-0.3139333044406163,0.021367541203598628,0.9057126854529374,False
tRF-21-9N15WV7W0,39.33193848971428,34.99010092786667,-0.1687544658198732,0.021367541203598628,0.9057126854529374,False
tRF-19-7P596VJ5,26.7253164135,21.036293110533332,-0.3453265248323465,0.021367541203598628,0.9057126854529374,False
tRF-19-ML5F92H3,13.41921287957143,9.430252763266669,-0.5089317052393532,0.026248485664288612,0.9057126854529374,False
tRF-18-YKISQID5,56.948322451428574,42.6621712698,-0.4166959517510733,0.026248485664288612,0.9057126854529374,False
tRF-23-F8YKIR9N05,13.434475830428573,10.043253800466665,-0.41971328567325594,0.026248485664288612,0.9057126854529374,False
tRF-23-JMRPFQRD03,167.42981983214284,90.39831814200001,-0.889188663063023,0.026248485664288612,0.9057126854529374,False
tRF-23-18Y3E7QN00,22.415793547071427,20.344193155666666,-0.1398985087854996,0.035450076819175114,0.9057126854529374,False
tRF-18-YRRHQFD2,42.57522021785714,62.049673158666664,0.5434096189236755,0.035450076819175114,0.9057126854529374,False
tRF-20-JMRPFQRD,71.01814858714286,54.1353008438,-0.39161808899821615,0.03864847761877588,0.9057126854529374,False
tRF-22-76DRR4KR5,19.626173244999997,13.8122302894,-0.5068326069715718,0.044095547685393255,0.9057126854529374,False
tRF-21-43RX6NMHD,10.62734624942857,11.110404105133332,0.06412990404903374,0.044095547685393255,0.9057126854529374,False
tRF-19-3290Q42E,20.539991094428576,35.92990224946666,0.8067494542200722,0.044095547685393255,0.9057126854529374,False
tRF-22-8BWS72092,23.986760679285712,28.14587614533333,0.23068521785412166,0.044095547685393255,0.9057126854529374,False
tRF-21-9DH48V7KE,10.572402439928572,23.306421164000003,1.1404242397727327,0.051091868926217865,0.9057126854529374,False
tRF-21-2YU04DYJB,13.933810833071428,11.845245926266667,-0.23428173080544434,0.051091868926217865,0.9057126854529374,False
tRF-22-7PP9ZZ052,10.661825965785713,9.642070756466667,-0.14503961629165385,0.06011367381324806,0.9057126854529374,False
tRF-21-2E489B3RB,17.217629710357144,25.065169676133333,0.5417974546052644,0.06011367381324806,0.9057126854529374,False
tRF-18-XSXMSL00,13.570839097642857,18.93170876046667,0.480294706691728,0.06011367381324806,0.9057126854529374,False
tRF-21-Z3M8ZLSSE,57.54124678285713,49.76524650133334,-0.20945789159101125,0.06011367381324806,0.9057126854529374,False
tRF-20-JMRPFQJD,15.90661158757143,18.174424139066666,0.1922831059683836,0.06011367381324806,0.9057126854529374,False
tRF-18-S4I7MN04,22.648035788785716,19.262350151799996,-0.23360220054642244,0.06011367381324806,0.9057126854529374,False
tRF-16-W9RKM80,11.023554469357142,16.4766719972,0.5798353864758363,0.06011367381324806,0.9057126854529374,False
tRF-20-RXSINHZ4,25.02843760235714,19.252273433466666,-0.37853941508154776,0.06011367381324806,0.9057126854529374,False
tRF-22-WB8HWKS52,23.754738080000003,27.972210269933335,0.23577895556058426,0.07023224713752518,0.9619689607927692,False
tRF-16-K8QJP1B,14.25728946442857,26.629045123666668,0.9013009678936985,0.07023224713752518,0.9619689607927692,False
tRF-21-V47P596VE,96.36197783857143,92.93367185133334,-0.05226259482135642,0.07023224713752518,0.9619689607927692,False
tRF-21-RPM830MME,18.479880315285715,15.326978020333334,-0.2698821405130323,0.08069577182512977,0.9995775074279166,False
tRF-18-HRF8X7D2,76.72728342214286,119.50979887039998,0.6393173313951035,0.08069577182512977,0.9995775074279166,False
tRF-19-RQ59W3K4,48.901957509285715,45.814348173333336,-0.09409272290391524,0.08069577182512977,0.9995775074279166,False
tRF-23-86J8WPMNY,39.49035096514286,25.660737905999998,-0.6219375321219589,0.09983615003643675,0.9995775074279166,False
tRF-16-BP1IUUD,15.869806658928571,10.164167336199998,-0.6427925197111319,0.09983615003643675,0.9995775074279166,False
tRF-18-YKIR9N05,15.134983569785714,10.3888382412,-0.5428527788625988,0.10683183949820774,0.9995775074279166,False
tRF-21-WB8HWKS5D,33.06526103857142,40.384319972,0.28847895501462606,0.11909321397092976,0.9995775074279166,False
tRF-23-JYSWRYVMDN,11.788928309,11.118530703800001,-0.08446642302966456,0.11909321397092976,0.9995775074279166,False
tRF-19-XSXMSL24,41.206815385714286,51.574794986,0.3237832101467193,0.11909321397092976,0.9995775074279166,False
tRF-22-N6B7P86ZJ,31.9303525115,46.08527289233333,0.5293773132444706,0.11909321397092976,0.9995775074279166,False
tRF-22-Q3V2Y7RZ5,16.77248184292857,13.254145527666667,-0.3396525168043625,0.1325665082835259,0.9995775074279166,False
tRF-23-76DRR4KR0J,66.04096189142857,56.84988911000001,-0.2162035983280468,0.1325665082835259,0.9995775074279166,False
tRF-20-S8V0J8O9,15.865547955642857,13.4359209822,-0.23980213303343323,0.1325665082835259,0.9995775074279166,False
tRF-18-HSQS52D2,36.835293105,69.7588041604,0.9212865864893978,0.1325665082835259,0.9995775074279166,False
tRF-21-739P8WQ0B,19.72475762364286,25.11472269226666,0.3485257727599249,0.1325665082835259,0.9995775074279166,False
tRF-18-NSRJ7K05,28.025879465428574,21.135460265466673,-0.4070941160160526,0.1325665082835259,0.9995775074279166,False
tRF-16-945NB2D,17.677919377785717,22.532363649133334,0.3500501753522185,0.1325665082835259,0.9995775074279166,False
tRF-20-ML5F82NZ,10.6817609085,14.067017236666665,0.3971669550250616,0.1325665082835259,0.9995775074279166,False
tRF-16-3JW261B,20.542089185000005,37.60655172886666,0.8724011118519552,0.1325665082835259,0.9995775074279166,False
tRF-18-HSQSD2D2,101.71392072000002,168.56152793466669,0.7287581545917678,0.14874587989802857,0.9995775074279166,False
tRF-19-9M739PJK,56.77014697785715,50.037464863000004,-0.18212377922097467,0.14874587989802857,0.9995775074279166,False
tRF-18-BS68BFD2,354.37307142857134,508.7576052466667,0.5217094772720596,0.16629567053418604,0.9995775074279166,False
tRF-22-9N1EWJQ72,28.06932075585714,30.046103479000003,0.09818375477097607,0.16629567053418604,0.9995775074279166,False
tRF-18-S9R8B7D2,23.906021523785714,40.548594699,0.7622778609918894,0.16629567053418604,0.9995775074279166,False
tRF-18-3290Q4DZ,55.34250243857141,74.65702020599998,0.43189004714333556,0.16629567053418604,0.9995775074279166,False
tRF-18-O7M8LO04,89.90615212785714,85.69959776133334,-0.06913140739357893,0.16629567053418604,0.9995775074279166,False
tRF-21-40KK5Y93E,10.242427087714287,12.058581658,0.23550260322606809,0.16629567053418604,0.9995775074279166,False
tRF-21-U0EZY9X1B,66.09302540428571,87.76408655333334,0.40913266686778726,0.16629567053418604,0.9995775074279166,False
tRF-16-8S68L5D,11.841856460285713,13.034213927600002,0.13840830737255239,0.16629567053418604,0.9995775074279166,False
tRF-20-VMMV5BU6,43.954093418571425,38.11899903793333,-0.20548729276112532,0.16629567053418604,0.9995775074279166,False
tRF-18-HR0VX6D2,46.31892609785714,57.278132754000005,0.30638265714496615,0.1844161768444984,0.9995775074279166,False
tRF-19-OB9ZFHIW,138.8925617207143,108.12705247999997,-0.3612418206065282,0.1844161768444984,0.9995775074279166,False
tRF-22-1HPSR9O9J,13.001199640928572,9.844207278733336,-0.401297808628692,0.1844161768444984,0.9995775074279166,False
tRF-18-5BF900R,152.75312064785717,129.39493350933333,-0.23942072432072692,0.1844161768444984,0.9995775074279166,False
tRF-19-18YKISIM,21.83655460492857,16.06818934333333,-0.4425378773019597,0.1844161768444984,0.9995775074279166,False
tRF-21-D890YBOZE,21.117065737285714,27.605164269266666,0.3865288031851213,0.1844161768444984,0.9995775074279166,False
tRF-19-88I26WIZ,121.49509804285715,124.55921275066666,0.03593362466439132,0.1844161768444984,0.9995775074279166,False
