tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-21-83ML5F82D,12.35282858,15.9948287,0.372764111,0.145027112,0.546223608,False,False,,False
tRF-19-S8V0J8HW,15.54980132,17.63355548,0.18142725,0.145027112,0.546223608,False,False,,False
tRF-20-W3FJIKE7,29.99914726,34.13876657,0.186489443,0.145027112,0.546223608,False,False,,False
tRF-23-JMRPFQRD03,74.13242602,95.85152495,0.37069666,0.145027112,0.546223608,False,False,,False
tRF-21-U0EZY9X1B,68.08316552,86.12728649,0.339172262,0.145027112,0.546223608,False,False,"SMAD2,NTRK2,RORA,BMP3",True
tRF-20-V29K9UV3,37.34466924,34.76568023,-0.103238503,0.157089565,0.575519044,False,False,"BMPR1A,RORA,BDNF,SMAD2",True
tRF-19-3L7L731D,13.10619817,11.85672345,-0.144543868,0.157089565,0.575519044,False,False,,False
tRF-18-88I26WDY,17.2473363,12.98191261,-0.409870618,0.157089565,0.575519044,False,False,,False
tRF-19-69M8LOJX,53.83747808,67.97745213,0.336445458,0.162425523,0.584441838,False,False,,False
tRF-18-R29P4P04,310.4945134,242.7291572,-0.355220357,0.162425523,0.584441838,False,False,,False
tRF-18-WB0Q37DW,10.58662006,11.00643324,0.056104962,0.167705654,0.598100695,False,False,,False
tRF-19-RQ59WIK4,10.05848661,14.07491689,0.484713149,0.17530715,0.598718485,False,False,,False
tRF-21-JMRPFQRDE,115.3842657,146.0505764,0.340021546,0.17530715,0.598718485,False,False,,False
tRF-18-OB1690DV,61.40907222,55.14246862,-0.155287951,0.17530715,0.598718485,False,True,"SMAD2,RORA,RORB,BMP3,CLOCK,STAT5B,BMPR2,NR1D2,IL6ST,BMP2,STAT3,KLF7,NTRK2,BMPR1A,NKX2-1,ARNTL2,PRIMA1,STAT1,NPAS2",True
tRF-20-B4ZPEK45,498.5255945,363.0739881,-0.457404001,0.17530715,0.598718485,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,LIF,CLOCK,BMPR1A,BMPR1B",True
tRF-19-B1RHODE2,9.97174402,12.39257387,0.313558105,0.17530715,0.598718485,False,False,,False
tRF-18-YKIR9N05,91.14386805,114.3707848,0.32750107,0.181075535,0.603086286,False,False,"RORA,BMPR2",False
tRF-18-S3M83004,74.27111058,63.66393583,-0.222324801,0.181075535,0.603086286,False,False,,False
tRF-19-Q622EV2R,73.43396031,58.44349311,-0.329404998,0.181075535,0.603086286,False,False,SMAD2,False
tRF-20-ML5F82NZ,9.292291815,12.82925992,0.465331582,0.187648925,0.609859005,False,False,,False
tRF-21-JMRPFQJDE,16.19329736,20.20824383,0.319547167,0.187648925,0.609859005,False,False,,False
tRF-19-73VL4YHE,33.18188826,42.71052661,0.364195699,0.187648925,0.609859005,False,False,"NR1D2,NTRK2,SMAD2",False
tRF-23-18Y3E7QN00,13.1954712,14.40699163,0.126726244,0.195525845,0.610828801,False,False,"BMP2,SMAD2",False
tRF-22-VF4YO9XEJ,131.2030112,132.6422956,0.01574005,0.195525845,0.610828801,False,False,"CLOCK,SMAD2",False
tRF-20-S3M8309N,29.36750668,22.56330329,-0.38024249,0.195525845,0.610828801,False,False,,False
tRF-22-3IRW18V6P,14.47633925,17.32858935,0.259457393,0.195525845,0.610828801,False,False,,False
tRF-22-B4ZPEK45I,64.61271058,43.40791147,-0.573859989,0.195525845,0.610828801,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,LIF,CLOCK,BMPR1A,BMPR1B",True
tRF-23-32VIJMRP9,14.3606871,18.00042732,0.325906378,0.201674646,0.620418949,False,False,,False
tRF-18-5BF900R,216.9625214,221.5345321,0.030085749,0.201674646,0.620418949,False,False,"SMAD2,KLF7,BMPR1B,RORA,BMPR1A,BMPR2,CNTF",True
