tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant
tRF-21-PS5P4PW3B,15.104648589122807,20.550160616831686,0.44415704979025517,0.00785704501820339,0.9696341091102114,False
tRF-22-83ML5F923,10.82366085142105,13.470841207128714,0.3156514051649517,0.011474195149276945,0.9696341091102114,False
tRF-20-W47W1R7H,23.268309765578948,27.421361764584162,0.23693380250265061,0.013754872266598439,0.9696341091102114,False
tRF-21-OB9ZFH69B,61.13840251785964,46.727742285732674,-0.38779952349533,0.018296323270319825,0.9696341091102114,False
tRF-22-BZBZOS4Y1,47.06083675850878,34.49811651154455,-0.4480093749863272,0.020549316640758097,0.9696341091102114,False
tRF-20-JMRPFQJD,16.523973305456142,19.21272442068317,0.21750147726960645,0.021619527756374435,0.9696341091102114,False
tRF-22-WB8689SV2,9.83491779091228,11.34232416027723,0.2057313954783786,0.024251416123604708,0.9696341091102114,False
tRF-23-OB9ZFH69U,84.1387554777193,79.20007912475248,-0.08726860728873298,0.025468135684220572,0.9696341091102114,False
tRF-21-J9ZH0SR90,11.648067293456139,13.889871594930694,0.253942666929869,0.03612903893157815,0.9696341091102114,False
tRF-21-WB8HWKS5D,16.470506503754386,15.49720490159406,-0.08787688935687665,0.03904269534545357,0.9696341091102114,False
tRF-18-9N15WV0E,29.69368610163158,25.51593246034653,-0.218757832199576,0.03970197923323571,0.9696341091102114,False
tRF-20-8B3VMKNR,15.658259562701755,17.23064314408911,0.13805268804278548,0.04474460416215298,0.9696341091102114,False
tRF-20-BE7XO8Q6,46.96801870496491,33.4137326899901,-0.4912375794022843,0.048250806364040666,0.9696341091102114,False
tRF-21-J0DPZOIPB,12.137462950964911,13.984703751881186,0.20438280059037028,0.048250806364040666,0.9696341091102114,False
tRF-23-79MP9PMNDD,14.215888200052632,16.54761650780198,0.2191191879716028,0.048250806364040666,0.9696341091102114,False
tRF-18-S8V0J6DR,11.259610345684209,12.637081063930689,0.16650636382469752,0.05198457335577977,0.9696341091102114,False
tRF-18-W3FJIKW,14.820217543035087,15.700980603752475,0.08328804052477468,0.0543814252241932,0.9696341091102114,False
tRF-23-2IUIX1Q7DR,35.204361385614035,28.426789834465346,-0.3085029837247344,0.0543814252241932,0.9696341091102114,False
tRF-19-RPM8301Z,15.492393394035087,19.981789591336632,0.36712575739404674,0.05756529960822798,0.9696341091102114,False
tRF-23-32VIJMRP9,11.810283156842106,15.438478792089107,0.3864870513536012,0.06192186193533977,0.9696341091102114,False
tRF-20-RPM830MM,27.891137098017545,34.610460918950494,0.31140140145897455,0.06293838477344593,0.9696341091102114,False
tRF-19-BE7XO8I5,51.98307250231579,36.44862042938614,-0.5121776980478749,0.06293838477344593,0.9696341091102114,False
tRF-22-8BWS72092,22.698409382754388,20.96973725012871,-0.1142824178942421,0.06654910430739058,0.9696341091102114,False
tRF-23-86J8WPMNY,24.00518757763158,28.189512841960397,0.2318123368141345,0.06762898302904186,0.9696341091102114,False
tRF-18-XSXMSL00,13.631286041122806,15.635210033782176,0.19787692031275483,0.06952480808455108,0.9696341091102114,False
tRF-21-YO0Y3KQ9D,23.50097044603509,24.54245879797029,0.06255946085126673,0.0719410035578093,0.9696341091102114,False
tRF-19-S998LOJX,18.375346030982456,22.33824673562376,0.281744539328451,0.0719410035578093,0.9696341091102114,False
tRF-20-9N15WV7W,21.203739014754387,19.081773116108913,-0.15212345283742756,0.07261131587261083,0.9696341091102114,False
tRF-19-BZOS4YE2,241.71336321157895,210.1182533601485,-0.2020957381969266,0.07667634203349738,0.9696341091102114,False
tRF-23-DRFU8U767,23.917759604175437,28.578422532455438,0.25684402750643276,0.07667634203349738,0.9696341091102114,False
tRF-20-VMMV5BU6,20.62198303226316,21.040125964237628,0.02896027136864543,0.08221756593709051,0.9696341091102114,False
tRF-23-1SS2PMFI0Q,18.241907853701758,20.05763442488119,0.13689484259857299,0.08577962389847038,0.9696341091102114,False
tRF-22-7O58J0K8O,20.454168923157894,16.141881055633664,-0.3415862105873142,0.0927754812380377,0.9696341091102114,False
tRF-19-YDZDL9JR,100.8036676663158,81.80044480465348,-0.3013675379614069,0.09431594399317467,0.9696341091102114,False
tRF-18-4E6L1F0P,33.369373622894734,32.47073031863366,-0.03938477241342131,0.09513929906401697,0.9696341091102114,False
tRF-21-B2JK7PP9E,20.107543921122804,23.478647982891086,0.2236124619580231,0.09513929906401697,0.9696341091102114,False
tRF-19-S8V0J8HW,14.412186857403508,17.013371803059407,0.23937982864991136,0.10089059447964455,0.9696341091102114,False
tRF-21-WB08Q2B5D,10.667595157614036,11.807689133316831,0.14649166469145491,0.1017952098849958,0.9696341091102114,False
tRF-21-9M739P8W0,9.752872671035089,11.91557108889109,0.288948971770262,0.10351648078642628,0.9696341091102114,False
tRF-22-INVDRI2Q2,58.02021244596492,48.898096281158416,-0.24677727936492744,0.10351648078642628,0.9696341091102114,False
tRF-20-S998LO9D,23.586509820578947,29.41127357353465,0.31840730380621185,0.10784037667735435,0.9696341091102114,False
tRF-20-B2JK7PP9,18.358365813157896,22.66832481278218,0.30424013834145125,0.10882240843187818,0.9696341091102114,False
tRF-21-8BWS7209D,10.350504182298245,9.388932039891088,-0.14066807388671965,0.1114832529595925,0.9696341091102114,False
tRF-22-Z8R3WE8ZJ,9.529654132333333,11.410156531207921,0.2598228242311258,0.11341193174423769,0.9696341091102114,False
tRF-18-1SS2P4DX,37.05653159924562,26.53090354586139,-0.48205404561842347,0.11416726392257481,0.9696341091102114,False
