mRNA,10,101,102,104,105,106,107,11,12,13,145,147,148,15,150,151,152,154,157,158,159,160,162,163,165,170,171,172,173,174,180,183,184,186,188,189,192,193,196,198,201,226,230,237,239,240,245,246,248,249,251,252,253,254,284,290,292,293,297,300,324,329,330,332,333,334,337,339,343,372,374,375,377,380,384,385,387,390,395,397,398,401,403,46,99
MT-TL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.835081397,0,0,0,4.755500932,0,0,0,0,0,0,0,0,0,0,0,0,0,6.993383723,0,0,0,0.314517257,0,0,0,0,0,0,0,0.32218841,0.147594691,0,0,0.304644518,0,0,0,0,0,0.352781968,0,0,0,0,0,0.128596564,0,0,0.285787316,0,0,0,0,0.233112791,0,0,0.627374793,0.215571212,0,0,0,0.33024312,0,0,0,0,0,0.325719242,0,0
MT-TF,28.53300559,16.39827907,64.6127844,5.403978331,36.98722947,9.145194099,0,41.15337345,15.01737136,14.41060888,24.26275986,12.09025661,0,0,11.50524419,15.85166977,25.02895227,55.64947899,0,0,12.51447614,3.213176305,8.129061422,30.14049886,41.96030234,28.9969569,69.35105525,24.12210618,6.79357276,5.944376165,20.80531658,33.28850652,48.95368606,1.035304992,1.295776821,2.930971298,1.887103544,4.57259705,14.49847845,6.58200821,47.55500932,16.68596818,3.522593283,0,0.32218841,0.590378762,0.9066732,3.823867708,0.761611296,0,1.031114686,1.522247417,1.08408076,0.886118186,3.527819682,2.556720931,0.468522259,4.469455763,0,2.32827463,1.285965639,3.630153383,0.818502742,1.428936578,0.677421785,1.348804964,1.2969548,1.087385884,3.729804652,0.971832615,3.167987297,3.136873965,4.311424235,2.548890239,2.458530762,8.187845957,2.972188082,0.345101664,1.275421706,0.640903091,1.102511808,1.708563209,19.86887376,8.014889211,18.64902326
MT-TV,0,0,0,5.403978331,0,0,0,4.57259705,0,0,4.852551971,0,0,0,0,0,0,0,0,0,0,0,4.064530711,10.04683295,18.64902326,0,0,0,0,2.972188082,0,14.2665028,0,0,0,0.366371412,0,0,0,0,0,0,0,0,0.32218841,0.147594691,0,0,0.152322259,1.526155626,0.206222937,0,0,0.295372729,0,0.196670841,0,0,0.543692942,0.582068657,0.385789692,0.25929667,0,0,1.016132678,0.385372847,0.864636533,0.724923923,0.466225582,0.323944205,0.351998589,0,0.646713635,1.092381531,0,1.310055353,0.33024312,0,0.364406202,0,0,0,0.325719242,0,0
MT-TI,0,0,0,0,0,0,0,0,2.502895227,0,0,4.030085535,0,0,0,0,0,0,9.511001863,0,0,0,0,3.348944318,0,0,0,0,2.264524253,0,0,0,0,0,0,0.366371412,0,1.524199017,2.89969569,0.822751026,0,0,0.880648321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35121868,0,0,0,0,0,0,0,0.325719242,0,0
MT-TQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352781968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313687397,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TM,0,4.099569769,0,0,0,0,0,0,2.502895227,0,0,0,0,0,3.835081397,0,4.171492045,0,0,0,0,0,4.064530711,6.697888636,0,0,9.907293608,13.78406067,0,0,5.944376165,0,6.993383723,0,0,0.366371412,0,0,0,0,0,0,0,0.870970867,0,0,0.2266683,0,0.761611296,0.305231125,0.824891749,0.304449483,0,0,0,0.196670841,0,0,0,0,0.257193128,0,0,0,0.338710893,0.192686423,0,0,0.466225582,0,0,0.313687397,0.862284847,0.364127177,0,1.96508303,0.33024312,1.035304992,0.182203101,0,0,0,0.325719242,0,0
MT-TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215571212,0,0,0,0,0,0,0,0,0,0,0,0
MT-TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233112791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
