miRNA,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,56,58,59,60,61,62,63,64,65,66,68,69,72,85,86,87,88,89,90,91,92,93,94,95
hsa-miR-1251-5p,2.032395276,4.164797115,3.044298415,2.439115492,4.345641583,3.41415654,0,5.724565852,2.362766772,7.019784284,1.943121024,3.462289772,4.482143657,2.594582346,1.971883364,6.193481259,3.897548501,3.629769364,1.77772146,4.295036793,5.859700848,6.075837291,4.52063929,5.310411171,3.89373468,0,8.433600917,8.463034772,5.969593413,4.443745304,2.302353303,7.273113062,2.494698704,2.558069919,7.608756883,6.641978771,7.290107106,1.707728984,10.00873918,0,3.452648064,4.181724806,5.884964259
hsa-miR-1276,4.064790551,4.997756538,2.029532276,3.658673238,3.476513267,2.731325232,0.806181014,1.908188617,1.575177848,1.403956857,1.943121024,0,2.689286194,0,2.629177818,3.096740629,3.897548501,3.111230883,5.333164381,4.908613477,2.929850424,7.426023356,0.645805613,7.965616757,0.778746936,2.650861784,2.409600262,1.880674394,0.994932236,1.110936326,4.604706605,1.039016152,1.247349352,7.674209757,4.56525413,5.534982309,7.290107106,6.830915937,1.668123197,1.486376612,3.452648064,7.318018411,5.044255079
hsa-miR-628-5p,207.3043181,292.3687575,292.2526478,342.6957266,352.8660966,396.72499,322.4724056,423.6178731,409.5462405,356.6050416,366.278313,406.8190482,471.5215127,320.4309197,293.1533267,481.2334938,406.9040635,461.4992476,447.0969473,500.064998,355.4885181,293.6654691,433.3355663,392.3066253,313.8350152,223.5560104,314.4528342,357.3281348,390.0134363,276.6231452,402.911828,333.5241847,194.5864989,272.4344464,266.3064909,415.1236732,267.3039272,339.8380679,366.9871034,395.3761788,360.8017227,219.5405523,439.6909011
hsa-miR-628-3p,176.818389,137.4383048,125.8310011,202.4465858,179.0404332,219.1888499,199.1267105,246.1563317,254.3912224,176.898564,210.8286311,304.6814999,183.7678899,156.9722319,203.1039865,258.2681685,191.7593862,239.0462395,223.1040433,239.294907,211.9258473,210.6290261,233.1358263,200.4680217,164.3156035,160.8189482,133.7328145,201.2321601,159.1891577,142.1998497,173.8276743,165.2035681,66.10951566,74.18402765,65.43530919,94.09469926,98.41644593,85.38644921,70.06117429,95.12810316,86.3162016,77.36190892,107.610775
hsa-miR-654-5p,98.57117087,114.9484004,163.3773483,156.1033915,127.7618626,77.15993781,131.4075053,150.7469008,134.677706,87.04532512,119.501943,180.0390681,128.1893086,158.2695231,131.4588909,141.2113727,148.106843,193.9333917,154.6617671,134.9868706,108.4044657,113.4156294,149.8269022,122.1394569,114.4757996,106.0344713,120.4800131,112.8404636,127.3513261,138.8670407,123.1759017,154.8134066,154.6713196,237.9005025,170.4361542,261.251165,191.9728205,240.7897868,190.1660445,274.9796732,215.790504,238.358314,147.9648157
hsa-miR-654-3p,346.5233945,488.9471813,387.6406648,576.8508139,550.1582245,454.7656511,557.8772617,857.7307835,474.1285322,370.6446102,662.6042691,959.0542667,686.6644082,438.4844165,531.0939193,615.6320371,590.088843,898.6271867,564.4265637,703.1588806,553.7417301,552.2261005,443.6684561,533.0325213,469.5844024,357.8663408,453.0048493,583.9493993,648.6958175,407.7136316,714.8807005,529.8982374,419.1093823,635.6803749,668.0488543,645.3789372,563.7682828,623.3210792,617.2055831,630.2236834,595.581791,590.6686289,651.5496144
hsa-miR-187-3p,7.113383465,36.65021462,54.79737146,80.49081124,19.98995128,26.63042101,29.0225165,50.56699836,29.92837911,39.31079199,49.5495861,48.4720568,50.20000895,24.64853229,24.97718927,35.30284317,31.95989771,34.74207819,40.88759359,44.1775213,48.8308404,51.98216349,47.14380974,44.47469356,35.82235906,33.57758259,26.50560288,54.53955742,37.80742495,37.77183508,25.32588633,63.37998526,22.45228834,31.97587399,60.87005506,45.38685493,37.66555338,37.57003765,26.68997116,31.21390885,20.71588838,52.27156008,32.78765802
hsa-miR-653-5p,5.080988189,6.663675385,2.029532276,1.219557746,7.82215485,4.779819156,3.224724056,3.816377235,6.300711392,7.019784284,5.829363071,8.655724429,6.275001119,2.594582346,5.915650091,5.574133133,18.7082328,0,6.222025111,15.33941712,2.929850424,11.47658155,4.52063929,5.310411171,3.89373468,5.301723567,8.433600917,1.880674394,3.979728942,6.665617956,9.20941321,7.273113062,3.742048056,8.953244717,6.087005506,11.06996462,7.290107106,11.95410289,6.67249279,10.40463628,10.35794419,7.318018411,5.884964259
hsa-miR-514a-3p,45.7288937,44.14684942,45.66447622,40.24540562,59.10072553,61.45481772,40.3090507,33.39330081,50.40569113,73.00575655,30.11837587,57.12778123,65.43929739,51.89164692,42.72413955,86.70873762,94.32067372,42.00161692,55.998226,85.90073585,45.90098997,39.15539588,53.60186587,73.681955,45.94606923,54.78447686,66.26400721,41.37483666,43.77701836,33.32808978,35.68647619,109.0966959,102.2826469,166.2745447,79.13107158,228.0412711,161.5973742,136.6183187,75.06554389,89.18259671,126.0216543,107.6794138,91.63730061
hsa-miR-514a-5p,2.032395276,0,0,1.219557746,0.869128317,0.682831308,0,0,0,0,0,0,0,0,0.657294455,0,0,0,0.88886073,0.613576685,0,0,0,0,0,0,0,1.880674394,0,0,0,0,0,0,0,1.106996462,0,0,0,0,0,0,0
