miRNA,10,101,102,104,105,106,107,11,12,13,145,147,148,15,150,151,152,154,157,158,159,160,162,163,165,170,171,172,173,174,180,183,184,186,188,189,192,193,196,198,201,226,230,237,239,240,245,246,248,249,251,252,253,254,284,290,292,293,297,3,300,324,329,330,332,333,334,337,339,343,372,374,375,377,380,384,385,387,390,395,397,398,401,403,46,5,540,9,99
hsa-let-7a-2-3p,0,0,0,1.041121124,0,0,0,0,0,1.211197831,0,0,1.263045962,0,0,3.790594246,0,0,0,0,0,0.921846417,0,0,0,1.177065384,0,0,0,0.756103637,0,0,0.83890262,0,0,0,0,0,0,0,0,0,1.239398297,0,0,0.779389881,0,0,0,1.141186396,0,0,0.948346744,0,0,0,0,0,0,1.20858349,2.608193042,0,1.087117527,0,0,0,0.739069425,0,2.357184522,0,0,0.699217402,0.795721305,1.711252186,0,3.344055174,0,0.705751106,0,1.588092181,0.839219544,0.905745585,0,0.83615155,0,0,1.310601487,0,0
hsa-let-7a-3p,213.6100361,277.1786277,185.3806651,97.86538569,201.3037067,136.3032563,199.6382027,313.2884524,296.1272067,191.3692573,218.3847431,223.1660145,271.5548818,240.9767148,277.0748217,216.063872,239.39108,214.7542511,287.3975335,201.5003977,249.5780433,283.00685,238.0035757,121.8254302,243.5217495,225.9965538,185.4550663,172.070052,309.2242208,228.3432982,231.4163528,257.9243981,276.8378646,234.33288,280.6487507,240.6656327,214.8170254,197.68298,288.5479939,179.8886708,235.0009567,293.3638289,262.7524389,276.7418706,219.8508411,339.0345981,305.7227226,478.3414679,346.0205633,345.7794779,286.4384219,287.5646681,314.851119,300.4170791,300.317618,329.7240445,365.5276811,310.6359235,347.159178,253.8025329,297.3340068,323.3492793,404.4077202,410.3974225,344.9131621,291.9498468,351.0579771,301.5217749,410.935835,329.6876983,377.7359368,383.8703538,320.6756859,328.5604196,358.0764974,304.3090208,394.1081566,376.8710908,339.4874744,260.4471176,336.527037,446.5325734,305.0114336,253.3539197,322.7021116,327.156916,401.0440551,228.0802029,231.888158
hsa-let-7a-5p,178660.0614,118375.1342,126143.1162,165273.814,214028.6042,162607.6715,146249.7496,182300.6685,141304.796,224271.4464,190733.7248,153157.523,138327.5307,147699.5757,164809.7585,252855.3798,183804.7219,228864.2982,137152.8188,178675.2989,161085.7064,141929.3181,159481.2146,251213.1092,227496.9198,135707.3994,168254.5121,133690.1489,144711.1283,144196.5245,191158.7401,156805.9976,197975.146,132954.7953,150313.8929,166557.5491,173770.6995,197199.1406,243083.8224,189836.3462,214302.7955,104281.2164,144184.1614,117996.5977,150563.0703,105543.4189,123622.9748,145136.0576,114292.9088,109452.3284,111707.7751,119084.3955,92512.17322,105111.6215,111648.4149,128624.9159,113166.0733,130152.932,129065.1246,179965.3332,104397.2735,117978.1057,114990.9436,119725.5868,115605.0373,100664.9578,127583.3377,116272.3667,133406.4295,119693.2942,153969.4937,123620.2383,111108.953,111475.2455,114444.1132,107762.178,131352.9289,132711.5553,94572.18901,106671.3577,115397.7226,122606.2511,120553.013,85265.71818,198302.4729,182039.6212,163514.5734,126870.8524,161887.7484
hsa-let-7b-3p,97.81091127,362.663625,97.74616885,118.6878082,178.3571702,196.5302765,106.3162026,119.558844,109.7644846,87.20624382,97.49318887,129.6331996,90.93930927,100.5399538,106.3062581,66.33539931,91.49502011,85.90170046,139.254475,268.3533334,87.77532878,129.0584984,89.66646342,67.39279117,135.4933043,89.45696922,67.73141553,69.01205294,79.84662979,99.80568003,224.3502047,91.99303532,99.82941178,106.5149454,86.78696307,88.28437783,101.9838403,91.23829847,93.43458851,374.9081644,103.9427308,89.31812112,105.3488552,58.22849314,80.01923996,93.52678569,50.62924068,70.65323078,59.78757033,63.90643815,79.43250355,54.37147086,89.14459393,63.91852748,92.98537128,65.80019309,72.94343968,62.47918009,178.2479887,122.0669325,117.3686869,57.06163753,94.57922489,66.11510539,55.43247248,92.70830791,87.94926162,62.9684028,99.00174992,179.7499419,122.8221144,74.81626204,57.29193396,76.15072226,72.57017013,71.06117244,71.50126383,112.2144259,76.76057113,68.28796377,161.9693719,98.72626876,64.30963961,62.71136626,90.46460868,116.0130908,73.3936833,112.8005351,138.0286654
hsa-let-7b-5p,34212.45794,30044.09088,33971.84951,44463.15986,48622.66784,40949.09067,39487.01894,39578.40548,35815.59856,42342.26497,38098.38835,36660.76113,33436.61575,31818.50158,36922.1991,42221.53401,34791.92141,40865.65573,36040.24327,36277.60431,35193.6767,37327.40512,37583.53209,42936.98407,60970.15592,34084.28234,37908.62821,34962.42618,38112.97403,36823.0032,35406.70199,35982.17303,45143.02779,29836.25642,37258.65764,38611.71686,37767.65389,36304.5484,53242.60103,42524.33682,46658.23482,31400.70946,33533.16031,26310.51332,31045.84855,29828.03013,25687.19962,32429.83293,28419.27421,26596.49013,28487.38423,27047.99437,26399.12831,26371.98546,31866.33805,30078.64211,27245.1852,32897.48829,34867.85299,35571.02928,30960.12081,28991.84057,29979.44005,29926.76057,30956.57221,32329.17608,30266.37111,30006.86579,37551.52089,28774.8968,30208.83289,29373.42385,25319.85192,31373.24194,29219.04218,26070.25414,32657.35105,33065.14509,31994.91393,27381.09133,32177.35574,33717.28515,31541.1221,28858.09845,37710.23964,41468.8793,32812.21884,28093.53108,45278.92341
hsa-let-7c-3p,5.62131674,4.317424108,5.05583632,0,2.086048774,2.113228779,2.36258228,1.107026334,5.527707859,4.844791323,5.849591332,6.56370631,3.789137886,6.383489132,1.13091764,0,8.773495079,11.08409038,2.96286117,3.766362574,7.402738572,2.765539251,3.320980126,2.59203043,3.661981196,4.708261538,4.837958252,2.760482117,1.451756905,6.804932729,1.766537045,3.438991974,3.35561048,7.100996363,1.127103417,4.837500155,6.509606829,5.529593846,1.374038066,3.362405062,3.012832778,1.539967606,3.71819489,2.504451318,2.424825453,1.558779761,3.894556975,1.909546778,6.726101662,6.847118373,3.209394083,2.416509816,5.690080464,1.597963187,0.628279536,0.723079045,4.862895979,7.039907616,4.243999731,3.625750471,2.608193042,2.717220835,3.261352582,5.643972411,3.079581804,4.066153856,2.217208276,1.816396235,1.571456348,5.260973909,6.952195157,2.796869609,0.795721305,3.422504371,2.864611979,4.180068967,3.404822087,3.528755532,2.374038282,5.558322632,1.678439087,4.528727925,8.268382235,5.016909301,5.40087216,2.320261816,3.931804462,9.916530561,4.416917294
hsa-let-7c-5p,174720.6426,115236.3669,123750.0203,161616.3555,207830.9533,158765.8216,142135.3126,177782.8941,138131.102,219225.5962,185612.0827,148172.3881,135043.6112,144132.8011,161009.8753,248128.5088,180527.1948,223967.9013,133725.776,174564.3142,157109.3782,138643.8574,155989.7575,245259.2153,222366.4842,132484.5943,165075.9735,130921.3854,141469.3552,140484.8118,186477.417,153143.4711,192630.4974,130871.363,146715.0517,162467.4427,169317.0435,193241.3338,236614.8512,185767.8361,209620.8534,101283.6694,140415.1512,115598.5856,148086.5153,103025.9896,120679.3388,141632.9941,111542.6806,107030.7309,109008.6747,116650.9701,90291.14515,102452.6108,108596.2329,125286.46,110899.1533,127166.2512,126020.4792,175854.9407,102130.7538,115323.3809,111471.9441,116536.7423,112431.2203,98383.84546,123989.2431,113316.4846,130305.1604,117339.8852,150488.7613,120815.6773,108669.2715,108986.2292,111703.6344,104999.1524,128261.3504,129318.304,92162.54016,103987.4819,112656.8315,119272.2016,118340.7614,83593.41507,193615.8661,178067.3329,160067.6915,124159.9209,158004.1739
hsa-let-7d-3p,321.5393175,237.4583259,390.9846754,409.1606019,340.0259501,416.3060695,291.7789116,364.2116638,304.0239322,285.8426881,343.8259794,277.3165916,294.2897092,306.4074784,290.6458334,233.1215461,175.4699016,292.3428838,318.0137656,362.5123977,274.9588612,306.0530105,277.8553372,204.7704039,448.5926965,303.6828692,343.4950359,272.3675689,227.9258341,267.6606873,227.8832788,270.820618,313.7495799,198.8278982,327.9870942,304.7625098,376.4722616,299.9804662,247.3268519,396.7637973,283.2062811,224.8352704,291.2585997,202.8605568,248.1404714,233.0375743,279.1099166,239.6481206,254.0971739,276.1671077,276.8102396,282.7316485,209.5846304,229.3077173,287.7520273,229.2160573,222.0722497,214.7171823,235.9663851,329.9432928,271.2520764,219.1891473,257.646854,250.7536314,189.7022391,302.5218469,251.2836046,222.205806,249.0758311,205.1779825,302.8067224,226.5464383,196.5431623,245.5646886,190.9741319,318.5212553,265.5761228,271.714176,216.0374837,209.6281679,266.8718149,209.2272301,188.3353731,169.7387647,279.4951343,341.0784869,221.4916514,255.3506619,343.4153196
hsa-let-7d-5p,6611.792749,5207.676959,5807.470653,7608.513177,7820.596853,6650.330968,6474.65674,7328.514329,5983.348921,7050.382573,8162.129772,6682.673487,5599.08275,6155.279396,6894.073931,9817.639098,6318.169813,7955.605872,5677.829622,8180.53951,7036.83178,6019.657103,6194.734929,8120.831336,7043.82083,7214.233741,5795.873986,4863.969491,5248.101213,5018.259836,7036.117049,5912.486952,7443.582948,5998.921727,6935.067322,7806.515875,9026.654803,8346.921911,9304.985785,9073.450059,9202.697721,4955.615755,6604.753522,7516.484518,9915.111279,6949.819567,7358.116312,6120.097423,6980.198836,8528.085934,7684.894131,8680.103259,7357.27404,6573.22157,8473.606098,7439.037215,7458.061466,7518.621334,8089.912288,6612.160275,6105.779912,7443.373607,8217.52139,6820.337518,8313.639039,7425.610171,7073.633471,7234.100737,8792.298267,6866.44778,9235.605032,7529.872205,8084.528458,7799.031836,8345.569565,7431.32661,7369.737408,7857.832819,7006.578317,6682.691896,8708.581203,7219.698058,8813.176753,7221.004787,6567.460547,5996.716663,8273.82719,5913.970913,7289.017765
